등록번호,청구기호,소장/대여,제목,분야,유형,연도,판형,면수,부수,종이,인쇄 및 후가공,제본,ISBN/ISSN,저자/작가,기획자/편집자,사진가/일러스트레이터,디자이너,발행처,발행일,후원,원본경로
1340,,,2018 한중일 문화삼국지 한국공예: 기량의 예술,공예,도록,2018,220×280,236,800,아르떼; 트레이싱지,,무선 제본; 삽지,,,임미선,박우진; 박광춘,디자인락,한국공예·디자인문화진흥원,2018.08.31.,문화체육관광부,01거래처/디자인락/디자인락-공예진흥원도록20180831
1341,,,2018 한중일 문화삼국지 한국공예: 기량의 예술,공예,도록,2018,220×280,240,800,,,사철 제본; 각양장,,,임미선; 김지원; 강혜원,박우진; 박광춘,디자인락,한국공예·디자인문화진흥원,2018.08.31.,,01거래처/디자인락/디자인락-공예진흥원_양장본 100부 재인쇄
1342,20 A 011,O,2022 우수공예품 지정제도,공예,도록,2023,200×260,120,124,스톤지; 아트지,오프셋 인쇄,PUR 제본,,,,516스튜디오,스튜디오 오유경,한국공예·디자인문화진흥원,2023.01.20.,문화체육관광부,01거래처/OYK/OYK-2022우수공예품 도록20230207
1343,,,2025 한복근무복 도록·사례집,공예,도록,2026,190×260,392,3000,,오프셋 인쇄; 표지에 형압,무선 제본,979-11-92787-68-8,,오윤서; 유형근; 하현미; 김지연; 더그레이,더그레이,더그레이,한국공예·디자인문화진흥원,2026.02.,한국문화예술위원회,00/2026년  02월작업진행/더그레이-2026한복근무복 도록사례집20260212
1344,,,오색일화: 감각을 채색하다,공예,도록,2015,220×280,112,600,트루카드; 아르떼,오프셋 인쇄; 표지에 톰슨; 표지에 UV 코팅,무선 제본,,,정한주,김민곤,미디엄,한국도자재단,2015.04.24.,외교부; 문화체육관광부; 교육부; 고용노동부; 안전행정부; 산업통상자원부; 국제도자협회; 농협; SK하이닉스,05강경탁과 페도라/MEDIUM-오색일화20150417
1345,,,K CERAMIC in MAISON&OBJET 2025,공예,도록,2025,150×200,80,,대례지; 랑데뷰,오프셋 인쇄,무선 제본; 자켓,,DOGA; NANAL; HWI CERAMICA; 박재국; Yeongjuhun Ceramic; Ceramic Studio Suk Jeen; HANWOOL DESIGN; yido pottery; SOIL BAKER; MOONDOBANG; KIM BYEOL HEE; JIWOON; Hayoon Kim; KWANGJUYO; GRACE OBJET; OREM; BEASTOMUS; YOON SEOK JUN; Object by michi; Sangwook Huh; Jinwan Kim; Kyunghee Son; Eunbum Lee,이하영; Choi Youngmoo; Chung Younjung,,신재호; Same Scene,한국도자재단,,여주세종문화관광재단,00/2025년 07월작업진행/신재호-프랑스메종 오브제도록20250729
1346,20 A 012,O,상감—이질적인 것들의 어우러짐,공예,도록,2022,225×280,376,1000,앤틱블랙; 비비칼라; 비세븐,오프셋 인쇄; 별색 인쇄; 표지에 UV 출력,사철 제본; 오리꼬미,979-11-959402-9-5,김세린; 김윤정; 신숙,유진현; 서지민,김광섭; 한정엽; 안천호,워크룸; 프론트도어,성보문화재단,2022.09.20.,,02워크룸1층/2022/상감 도록20220903
1347,20 A 013,O,여지동락 與紙同樂: 종이와 함께하는 즐거움,공예,도록,2023,,,,,,,,,,,,성보문화재단,,,
1348,20 A 014,O,"향香, 푸른 연기靑煙 피어오르니",공예,도록,2024,225×280,208,1000,디프매트; 비비칼라; 아르떼,오프셋 인쇄; 표지에 실크스크린,사철 제본,979-11-983116-2-7,이용진; 이원광; 유진현; 서지민; 오혜윤; 양은영; 유지원,유진현; 윤선영,김광섭; 한정엽; 안천호,워크룸,성보문화재단,2024.10.14.,,워크룸1/워크룸-호림박물관 향 도록20240925
1349,20 A 015,O,"쉼 박물관 한국인의 정성, 소반",공예,도록,2016,220×310,40,100,스노우지; 스타드림; 랑데뷰,오프셋 인쇄; 표지에 라미네이팅; 표지에 박,사철 제본; 각양장,,박기옥,남은정; 김유경,,디로직,쉼 박물관,2016.10.26.,서울특별시,010개인작업자/디로직(d.logic)/디로직(d.logic)-소반도록20161101
1350,20 A 016,유윤석,에른스트 감펠: 치유의 미학,공예,도록,2014,180×270,44,800,몽블랑; 마그노사틴; 문켄 프린트,오프셋 인쇄; 표지에 라미네이팅,무선 제본,,,신세계갤러리; 갤러리 LVS,에른스트 감펠; 갤러리 LVS,프랙티스,신세계,2014.09.,,04프랙티스/신세계갤러리20140819
1351,,,복을 담고 행운을 열다,공예,도록,2012,222×270,80,700,마분지; 메리트,오프셋 인쇄,사철 제본; 날개,,,임히주,,워크룸,신세계백화점,2012.09.,,03워크룸2층/2012/신세계갤러리 도록
1352,20 A 017,신건모,100가지 공예도구,공예,도록,2016,124×188,240,500,아트지,오프셋 인쇄; 표지에 라미네이팅,PUR 제본,979-11-953124-6-7,장인기; 김호일; 윤지은; 강나진; 백정은; 김민섭,장인기,허준율; 서헌강,낮인사,온양민속박물관,2016.12.12.,,포뮬러/낮인사-101가지공예도구20161214
1353,20 A 018,신건모,공예백선,공예,도록,2017,182×257,208,1000,아트지,오프셋 인쇄; 표지에 라미네이팅,무선 제본,979-11-953124-7-4,김호일; 윤지은; 강나진; 김민섭,장인기,서헌강,신건모,온양민속박물관,2017.04.25.,,포뮬러/낮인사-공예백선20170421
1354,20 A 019,신건모,탈,공예,도록,2017,124×188,272,500,골든캐스크슈퍼아트; 스펙트라; 아트지,오프셋 인쇄; 표지에 라미네이팅,PUR 제본,979-11-953124-8-1,전경욱,장인기,구본창; 서헌강,신건모,온양민속박물관,2017.12.06.,,포뮬러/낮인사-탈_온양20171202
1355,20 A 020,O,온양민속박물관 소장품 도록,공예,도록,2018,220×220,320,900,메리트; 비비칼라; 북바인딩클로스; 몽블랑,오프셋 인쇄; 별색 인쇄; 표지에 형압; 표지에 실크스크린,사철 제본; 둥근양장; 헤드밴드; 스티커,979-11-89570-01-9,,장인기,서헌강; 허준율,포뮬러,온양민속박물관,2018.12.30.,충청남도; 아산시,포뮬러/낮인사-온양대표도록20181127
1356,20 A 021,신건모,101가지 공예도구,공예,도록,2025,124×188,192,900,아트지,오프셋 인쇄,PUR 제본,979-11-89570-11-8,김기찬; 김병권; 백한결; 홍정아; 이왕기,장인기,구본창,포뮬러,온양민속박물관,2025.10.01.,,00/2025년 10월작업진행/포뮬러-101가지 공예도구20251014
1357,20 A 022,O,산들내 — 자연의 재료,공예,도록,2025,150×235,96,700,문켄 프린트; 비비칼라; 구김주름지; 문켄 프린트 크림,오프셋 인쇄; 별색 인쇄; 자켓에 박,노출 사철 제본; 자켓,979-11-89570-12-5,김기찬; 김병권,장인기,구본창,포뮬러,온양민속박물관,2025.10.30.,신세계,00/2025년 10월작업진행/포뮬러-산들내 자연의 재료20251025
1358,,,흙의 변이,공예,도록,2022,180×260,64,,,,,,김경찬; 김창호; 정김도원,박진영,이도현,최혜진,우란문화재단,2022.06.27.,,01거래처/글자와기록사이(최혜진)-우란문화재단 흙의변이20220627
1359,20 A 023,O,손이 따뜻한 예술가들: 그 온기를 이어가다,공예,도록,2024,187×248,108,,,,사철 제본; 둥근양장,979-11-979694-1-6,박남희,박재연; 박지윤,김병국,이경수,유동룡미술관,2024.10.30.,문화체육관광부; 예술경영지원센터,이사님 데스크톱/워크룸1/ 워크룸-유동룡미술관 도록 20241031
1360,,,blurring boundaries: 한복을 꺼내다,공예,도록,2023,185×258,140,1400,랑데뷰,오프셋 인쇄,무선 제본; 날개,979-11-985561-0-3,크리스티나 김,호경윤; 임다울,이종근,프론트도어,재단법인 아름지기,2023.08.31.,까르띠에; 이건창호; 한국메세나협회; 한국문화예술위원회,프론트도어/프론트도어-아름지기 도록20231221
1361,,,"방房, 스스로 그러한",공예,도록,2024,185×258,128,1200,랑데뷰,오프셋 인쇄; 표지에 에폭시,무선 제본; 날개,979-11-985061-1-0,정희숙,김소연; 송주연; 송미진; 이정연,그루비주얼,Studio KIO 안정우,재단법인 아름지기,2024.08.29.,까르띠에; 이건박영주문화재단; 한국메세나협회; 한국문화예술위원회,01거래처/STUDIO KIO/Studio KIO-아름지기도록(방 스스로 그러한)20240819
1362,20 A 024,O,끊어서 이어지는 빛,공예; 미술,도록,2015,210×297,104,,랑데뷰; 흑지,오프셋 인쇄; 표지에 박,,,,손혜원; 김은애; 서상원; 이가화,,이가화,크로스포인트문화재단,2015.09.,,01거래처/크로스포인트/크로스포인트-끊어서 이어지는 빛20150907
1363,,,나전 끊음질 장인 황삼용,공예,도록,2015,190×220,64,500,랑데뷰,오프셋 인쇄,무선 제본,979-11-953877-6-2,,손혜원; 김은애; 유태안; 서상원; 이가화,여성중앙; 박상국; 박우진; 씨티 스튜디오,크로스포인트 인터내셔널,크로스포인트문화재단,2015.07.08.,,01거래처/크로스포인트/크로스포인트-황삼용이익종도록20150706
1364,,,한산모시 깨끼바느질 장인 김효중,공예,도록,2015,192×220,60,500,랑데뷰,오프셋 인쇄,중철 제본,979-11-953877-5-5,김효중,손혜원; 김은애; 유태안; 서상원; 이가화,여성중앙; 신국범; 박우진; 씨티 스튜디오,크로스포인트 인터내셔널,크로스포인트문화재단,2015.06.02.,,01거래처/크로스포인트/크로스포인트-한산모시 김효중전 도록20150530
1365,,,김봉룡,공예,도록,2016,220×270,216,,,,,,,손혜원; 김은애; 이가화,,크로스포인트 인터내셔널,크로스포인트문화재단,2016.12.28.,,01거래처/크로스포인트/크로스포인트서울-김봉룡20161212
1366,,,손대현전,공예,도록,2016,220×270,136,700,랑데뷰,오프셋 인쇄; 표지에 코팅,사철 제본; 각양장,,손대현,손혜원; 김은애; 서상원; 이가화,,크로스포인트 인터내셔널,크로스포인트문화재단,2016.03.16.,,01거래처/크로스포인트/크로스포인트서울-손대현전20160307
1367,20 A 025,원성연,김성철: 윈 위에 숨,공예,도록,2023,225×290,90,500,사피르; 그문드 컬러매트; 에어러스; 쉽스킨; 아라벨,오프셋 인쇄; 표지에 박; 내지에 실크스크린,사철 제본; 각양장; 헤드밴드; 삽지,979-11-5591-086-3,김성철; 홍지수,김가영; 임유권,황정욱; 황갑순,에이오 그래픽스,가나아트,2023.01.26.,,이안북스/이안북스-김성철도록20230329
1368,,,첫 번째 박여숙 간섭전: 이경노 은입사,공예; 미술,도록,2018,210×297,32,1000,랑데뷰,오프셋 인쇄; 표지에 코팅,무선 제본; 날개,,이경노,,,신건모,박여숙화랑,2018.01.,,포뮬러/낮인사-이경노도록최종20180122
1369,,,윤상현: 기억의 방식,공예,도록,2021,148×210,32,250,앙상블,오프셋 인쇄,중철 제본,979-11-972537-4-4,윤상현,이승민,박정훈,강경탁,에이라운지,2021.04.30.,,05강경탁과 페도라/2021/AGK-에이라운지 윤상현 도록20210428
1370,,,이혜정 도예전 — 세간치장도,공예,도록,2013,190×240,40,500,랑데뷰,오프셋 인쇄,,,이혜정,,오인규,한스그라픽,예도갤러리,2013.11.22.,,08한스그라픽/이혜정
1371,,,사가보월(思家步月),공예,도록,2019,165×230,56,500,랑데뷰; 탑코트매트,오프셋 인쇄,무선 제본,,권슬기; 김수연; 김신령; 김용주; 김혜원; 김희주; 노은주; 문춘선; 박정은; 박주형; 박지은; 신혜림; 신혜진; 오세린; 윤상지; 조가희; 조민정; 조성호; 최재욱; 한상덕,이유진갤러리,,JEEC,이유진갤러리,2019.01.04.,푸른문화재단,01거래처/이유진갤러리/이유진갤러리-사가보월 도록20181116
1372,,,Absolutely Abstract,공예,도록,2020,165×230,56,1000,랑데뷰; 스노우지,오프셋 인쇄; 표지에 라미네이팅; 표지에 박,무선 제본,,,구혜원,,JEEC; Junmin Bae,이유진갤러리,2020.12.17.,푸른문화재단,01거래처/이유진갤러리/이유진갤러리-2020 Absolutely Abstract(크래프트도록)20201209
1373,,,우리 곁의 한복,공예,도록,2016,220×260,144,,,오프셋 인쇄; 표지에 라미네이팅,,,한국복식연구회,김순영; 선일,서헌강,한스그라픽,서울대학교 박물관,2016.10.,,08한스그라픽/서울대박물관/서울대박물관-우리곁의한복20161007/서울대박물관도록인쇄용20161005
1374,20 A 026,사월의눈,"한지: 시대와 생활, 사물과 재료",공예,도록,2022,175×230,160,150,모조지; 아트지,오프셋 인쇄 ,무선 제본,979-11-88164-12-7,,장인기; 윤성서,장예진; 김다인,윤성서,파주타이포그라피교육협동조합,2022.10.15.,문화체육관광부; 한국공예·디자인문화진흥원,01거래처/파티/파티-한지 시대와생활20221012
1375,,,2020 전통모시 전문인력 육성교육 제1회 모시작품전,공예,도록,2020,210×297,36,200,랑데뷰,오프셋 인쇄,무선 제본,,,,금다운,최리라,한국전통문화대학교 전통섬유복원연구소,2020.08.27.,,01거래처/진한솔/진한솔-전통대 도록 최종20200821
1376,,,피날레 Finale,공예,도록,2016,190×275,108,500,,,,,김정권,필드워크 프레스,허명욱,반하나프로젝트,한국폴리텍대학교 안성캠퍼스 주얼리디자인과,2016.09.20.,,010개인작업자/필드워크(전유니)-폴리텍대학 졸업전20160901
1377,,,"색실누비, 천개의 골무",공예,도록,2014,180×245,104,,,,,,,김윤선,이승무,조혜림,다홍치마,,,010개인작업자/다홍치마/다홍치마-천개의 골무20140612
1378,,,"아이 발이 첫 발, 어린이 두루마기",공예,도록,2021,185×245,40,300,,오프셋 인쇄; 표지에 박,,,김윤희,김윤희,서헌강,최보민,,2021.02.17.,,010개인작업자/최혜림(최보민)-김윤희 손바느질 작품집20210202
1379,,,베 짜는 동네 이야기,공예,도록,2024,188×230,96,,,,,,김미숙; 노선경; 민경명; 박순미; 손미화; 송현호; 신주연; 유수미; 윤미현; 윤석원; 윤수현; 이나래; 이원미; 이재순; 이진욱; 전지영; 정차현; 조수진; 조하연; 최경숙,,무브 로우,아키타입,유구직물 조각보 연구회,2024.01.,,01거래처/아키타입/아키타입(archetypes)-베 짜는 동네 이야기20240125
1380,,,"花, 답하다",공예,도록,2017,220×280,80,600,포커스; 프라나스,오프셋 인쇄; 표지에 라미네이팅,무선 제본,,김주영,김주영; 김혜원,,강경탁,한국야생화자수협회,2017.04.25.,,05강경탁과 페도라/2017/김주영(화 답하다)
1381,,,색실누비 단추 Button,공예,도록,2020,180×245,64,1000,랑데뷰,오프셋 인쇄,노출 사철 제본,,김윤선,김윤선; 임희진,이승무,시소,한국전통색실문양누비 보존협회,2020.11.,,01거래처/시소/시소-색실누비7회회원전20201110
1382,,,색실누비 첩帖,공예,도록,2023,180×245,80,800,랑데뷰,오프셋 인쇄,노출 사철 제본,,김윤선,김윤선,서헌강,시소,한국전통색실문양누비 보존협회,,한국문화재단,01거래처/시소/시소-2023회원전도록20230712
1383,20 B 001,O,구축적 변형태,공예,작품집,2026,,,,,,,,,,,,구축성연구소,,,
1384,,,Merge Series,공예,작품집,2020,240×320,48,300,인스퍼 러프; 클로스; 칼라플랜,오프셋 인쇄; 표지에 라미네이팅; 표지에 형압; 표지에 박,사철 제본; 각양장,,김옥,,김잔듸,맛깔손,김옥스튜디오,2020.11.11.,서울특별시; 서울문화재단,01거래처/MHTL(최희은)/최희은-김옥  작가 도록 인쇄20201102
1385,,,"더그레, 봄날에 오다",공예,작품집,2018,180×240,80,200,랑데뷰,오프셋 인쇄,떡 제본,979-11-963458-1-5,김인자,김인자; 장윤정,이승무,시소,당초문,2018.11.01.,한국공예·디자인문화진흥원,01거래처/시소/시소-더그레(방령의유희)20181109
1386,20 E 001,신건모,공예 — 기능과 유희,공예,사진책,2020,207×291,72,500,젠틀페이스; 문켄 퓨어 러프,오프셋 인쇄; 표지에 박,사철 제본; 각양장,979-11-89570-03-3,박현택; 박지수,장인기; 장도윤,텍스처 온 텍스처,포뮬러,온양민속박물관,2020.12.01.,,포뮬러/포뮬러-공예(재료와질감 수납과구조 기능과유희)3종20201123/공예(재료와질감 수납과구조 기능과유희)3종
1387,20 E 002,O,공예 — 수납과 구조,공예,사진책,2020,207×291,80,500,울트라사틴; 문켄 퓨어 러프; 비비칼라; 티엠보스; 젠틀페이스,오프셋 인쇄; 표지에 박,사철 제본; 각양장,979-11-89570-04-0,최공호; 이기원,장인기; 조영아,김경태,포뮬러,온양민속박물관,2020.12.01.,충청남도; 아산시,포뮬러/포뮬러-공예(재료와질감 수납과구조 기능과유희)3종20201123/공예(재료와질감 수납과구조 기능과유희)3종 
1388,20 E 003,신건모/O,공예 — 재료와 질감,공예,사진책,2020,207×291,80,500,울트라사틴; 문켄 퓨어 러프; 비비칼라; 티엠보스,오프셋 인쇄; 표지에 박,사철 제본; 각양장,979-11-89570-05-7,장경희; 권태현,장인기; 장도윤,김경태,포뮬러,온양민속박물관,2020.12.01.,,포뮬러/포뮬러-공예(재료와질감 수납과구조 기능과유희)3종20201123/공예(재료와질감 수납과구조 기능과유희)3종
1389,20 E 004,신건모,공예 — 동물과 문양,공예,사진책,2021,207×291,80,500,젠틀페이스; 문켄 퓨어 러프; 비비칼라; 티엠보스; 스노우지,오프셋 인쇄; 표지에 박,사철 제본; 각양장,979-11-89570-06-4,박영택; 김서울,장인기,정희승,포뮬러,온양민속박물관,2021.12.15.,충청남도; 아산시,포뮬러/포뮬러-온양 박물관 동물과문양20220107
1390,20 E 005,신건모,공예 — 규방과 문양,공예,사진책,2022,207×291,72,500,밴티지실크; 문켄 퓨어 러프; 티엠보스; 엔티랏샤; 아쿠아사틴,오프셋 인쇄; 표지에 박,사철 제본; 각양장,979-11-89570-07-1,배우리; 최경원,장인기; 박태환; 최재하,조성연,포뮬러,온양민속박물관,2022.12.26.,,포뮬러/포뮬러-온양도록 2종20221226
1391,20 E 006,신건모,공예 — 식물과 문양,공예,사진책,2022,207×291,72,500,아쿠아사틴; 문켄 퓨어 러프; 티엠보스; 그문드 컬러매트,오프셋 인쇄; 표지에 박,사철 제본; 각양장,979-11-89570-08-8,정지돈; 이선,장인기; 박태환; 최재하,파일드,포뮬러,온양민속박물관,2022.12.26.,,포뮬러/포뮬러-온양도록 2종20221226/식물과문양
1392,,,왕골,공예,사진책,2020,137×182,184,1000,매직콤마; 인스퍼 러프,오프셋 인쇄; 표지에 형압,사철 제본; 오타바인딩; 날개,979-11-964645-1-6,서은미,김우영,서은미,가정책방,협동조합 청풍,2020.09.20.,,01거래처/가정책방(전종원)/가정책방(전종원)-화문석도록20200915
1393,20 F 001,O,궁궐 전각 내부 집기 재현 10년,공예,아카이브북,2024,170×240,60,1500,비비칼라; 랑데뷰; 크라프트 M; 올드밀,오프셋 인쇄; 표지에 박; 케이스에 형압,중철 실 제본; 케이스,979-11-985561-2-7,,전수현; 김소영; 황다운,그루비주얼; 정필름; 윤태훈,프론트도어,재단법인 아름지기,2024.12.24.,에르메스 코리아,00/2024년 12월작업진행/프론트도어-아름지기 브로셔2차 20241230
1394,,,뱃지 카탈로그 인터뷰집,공예,아카이브북,2020,128×180,164,500,스노우지; 모조지,오프셋 인쇄; 표지에 라미네이팅,무선 제본,,,프래그,최현택; 한승빈,프래그,프래그,2020.08.,,01거래처/PRAG(프래그)/PRAG(프래그)-뱃지카탈로그_인터뷰집_책자20200824
1395,20 G 001,O,2022 우수공예품 스토리북,공예,자료집,2023,220×285,222,104,인의예지; 시로에코; 문켄 퓨어 러프; 모조지,오프셋 인쇄; 표지에 박,PUR 제본; 중철 제본,,,스튜디오 오유경,,스튜디오 오유경,한국공예·디자인문화진흥원,2023.01.15.,문화체육관광부; 농림축산식품부,01거래처/OYK/OYK-2022우수공예품(스토리북 인덱스북)20230217
1396,,,rhythm,공예,자료집; 독립출판물,2019,172×240,28,,,,,,,서동범,정희승,Studio KIO,JEM&PEBBLES,,,01거래처/STUDIO KIO/STUDIO KIO-잼엔페블스 룩북20190626
1397,,,"안녕! 하나, 둘, 셋",공예,단행본,2015,150×150,32,,,,,979-11-953124-2-9,스즈키 치카에,히든챔피언,허준용,오새날,온양민속박물관,2015.03.10.,,"010개인작업자/히든챔피언(장인기)/히든챔피언-안녕!하나,둘,셋"
1398,20 I 001,O,광주요 1963,공예,단행본,2025,160×230,240,500,로우; 엔티랏샤; 크러쉬,오프셋 인쇄; 별색 인쇄; 표지에 실크스크린; 표지에 형압,사철 제본; 각양장; 헤드밴드,979-11-89169-89-3,장인기; 이연주; 최공호; 윤소림; 김영희,장인기; 이연주; 이승현; 조가현; 조은영; 한새연; 민은주,김희원,포뮬러,하이비전,2025.08.18.,,00/2025년 07월작업진행/_no book/포뮬러-광주요1963 20250721
1399,,,"진두숙의 보자기, 한 땀의 바느질로 생을 감싸다",공예,단행본; 독립출판물,2014,180×245,208,1500,랑데뷰,오프셋 인쇄; 자켓에 바니시 코팅,노출 사철 제본; 자켓,978-89-965604-3-2,김민정,다홍치마,박우진,조혜림,다홍치마,2014.10.20.,,010개인작업자/다홍치마/다홍치마-진두숙의보자기
1400,,,매거진 제로 Vol.01: FASHION,공예,정기간행물; 독립출판물,2021,180×250,64,80,모조지,인디고 출력,중철 제본,,이현진; 이한결; 노하은,이현진,김기훈; 이현진; 임영윤,프래그,EOTD,,기후변화센터; GS칼텍스 (클리마투스 컬리지 수상작),01거래처/PRAG(프래그)/PRAG(프래그)-매거진제로_인쇄용(충주문화사)20210621
1401,30 A 001,O,너라는 세계: 디자인은 어떻게 인간을 끌어안는가,디자인,도록,2025,170×240,368,1500,매그; 흑기사; 모조지,오프셋 인쇄; 별색 인쇄; 표지에 UV 출력,PUR 제본; 날개,979-11-93192-08-5,,최수신,,프론트도어,광주비엔날레,2025.08.01.,,00/2025년 08월작업진행/프론트도어-2015 광주디자인비엔날레 도록20250812
1402,,,"Lighting, 일상을 조명하다",디자인,도록,2018,220×280,120,1000,CCP; 앙상블,오프셋 인쇄; 표지에 박,무선 제본,979-11-965279-0-7,,,최지현,닷츠,국립민속박물관; 조명박물관,2018.09.30.,,01거래처/닷츠/닷츠-조명박물관도록20181114
1403,30 A 002,O,글(자)감(각) — 쓰기와 도구,디자인,도록,2025,175×245,296,1000,블랙잭; 모조지; 인스퍼 러프,오프셋 인쇄; 별색 인쇄; 표지에 박; 표지에 실크스크린,노출 사철 제본; 부착 표지; 스티커,979-11-89438-71-5,김은재; 이용; 유지원,김미미; 김은재; 김안나,Unreal Studio,프론트도어,국립한글박물관,2025.12.01.,,00/2025년 12월작업진행/프론트도어-글자감각 도록20251202
1404,30 A 003,신신,사물의 가정,디자인; 공예,도록,2023,182×257,64,500,문켄 폴라,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,,,신동혁; 변정미,이윤호,신신,서울경제진흥원,,,신신/신신-비더비_길종상가_도록(사물의가정)20231123
1405,,,2022 DDP 포럼 디자인&디자이너 전시,디자인,도록,2023,148×210,264,300,모조지; CCP,오프셋 인쇄; 별색 인쇄,무선 제본; 날개,,서울디자인재단,박진배; 김윤희; 유주이; 백민영; 문한아; 방영순,장현수,디자인누하,서울디자인재단,2023.02.28.,,01거래처/디자인누하/디자인누하-DDP포럼20230313
1406,,,수제화,디자인,도록,2014,170×240,96,200,아트지; CCP; 랑데뷰,오프셋 인쇄; 표지에 박,무선 제본,,,방영순,박용만; 김윤해,디자인누하,서울특별시,2014.12.05.,,01거래처/디자인누하/누하-수제화20141205
1407,,,2019 을지로 라이트 웨이,디자인,도록,2019,135×265,120,300,아트지,오프셋 인쇄; 별색 인쇄; 표지에 라미네이팅; 표지에 톰슨,무선 제본,,,,박윤미술촬영,프래그,서울특별시 중구청,2019.10.16.,신한카드,01거래처/PRAG(프래그)/PRAG(프래그)-2019을지로라이트웨이 도록20191010
1408,,,두 번의 올림픽 두 개의 올림픽,디자인,도록,2018,182×273,160,,,,,,,전미연; 황효연,문화수도,워크룸,한국공예·디자인문화진흥원; 문화역서울 284,2018.02.09.,서울올림픽자원봉사자회; 월간 디자인; 시디알어소시에이츠; 디파크브랜딩; 서울대학교 조형연구소; 프로파간다; 한국공예예술가협회; 서보미술문화재단,03워크룸2층/2019/올림픽284 도록
1409,30 A 004,박활성,뉴웨이브: 가구 그리고 신진 디자이너들,디자인,도록,2013,172×234,88,500,미색 모조; 스노우지,오프셋 인쇄,무선 제본; 날개,,이광호; 이상혁; 장민승,김윤옥; 이경미; 장문정,이의정,워크룸,금호미술관,,,03워크룸2층/2014/뉴웨이브 도록
1410,,,노 모어 푸르츠,디자인,도록,2017,240×350,24,200,,,,,김세형; 황인섭; 박승혁; 신동휴; 양민영,윤율리,강민구,김기조; 김성구,갤러리팩토리,,이연생활뷰티,김성구/김성구-노 모어 푸르츠 룩북 20170614
1411,30 A 005,신신,"여름 그늘, 휴거",디자인,도록,2024,140×210,144,300,프런티어 터프,오프셋 인쇄; 별색 인쇄; 내지에 박; 표지에 박; 책등에 북클로스,노출 사철 제본,979-11-87937-15-9,박길종; 김예지; 이미지; 현시원,현시원,박길종,신신,시청각,2024.12.24.,한국문화예술위원회,00/2025년 01월작업진행/신신-박길종 개인전 도록20250114
1412,,,파티파티: 파티오 — 파주타이포그라피배곳 한배곳 다섯 번째 마친보람 맺음전,디자인,도록,2021,165×230,200,,,오프셋 인쇄,,,,,,김수연; 장예진,PaTI,2021.01.31.,AG 타이포그라피 연구소,01거래처/파티/파티(장예진)-2021졸전도록20210302
1413,,,The Speech Bubble: 2019 제28회 경희대학교 예술디자인대학 시각디자인학과 졸업전시,디자인,도록,2020,182×257,161,,,,,,,,,,경희대학교 예술디자인대학 시각디자인학과,2020.02.,,012대학모음/경희대학교-시각디자인 졸전도록20200227
1414,,,We’re looking for Brave Finders: 2022 국민대학교 영상디자인학과 졸업작품 전시회·상영회,디자인,도록,2022,148×210,128,150,랑데뷰; 뉴플러스,오프셋 인쇄; 표지에 코팅; 표지에 에폭시,무선 제본,,국민대학교 영상디자인학과 졸업준비위원회,정혜인; 강영진; 김예림; 부효정; 임수아; 조윤지,,금재성,국민대학교 영상디자인학과,2022.10.,Shinyoung Foundation; Rix폰트; Booktory,012대학모음/국민대학교(금재성)-ENTD grad20221018
1415,,,IMAGINE GENIUS: 제15회 김포대학교 시각디자인과 졸업작품전,디자인,도록,2016,210×260,138,,,,,,,,,,김포대학교 시각디자인과,,,010개인작업자/빅시/김포대학2016졸업전
1416,,,제27회 단국대학교 커뮤니케이션디자인과 졸업작품집,디자인,도록,2016,160×230,224,,랑데뷰,오프셋 인쇄; 별색 인쇄,,,,정효인; 김슬기; 김승연; 김웅창; 최준원,윤태현; 이원희,김진희; 도연경; 정유경,단국대학교 디자인학부 커뮤니케이션디자인전공,2016.11.02.,삼화제지,012대학모음/단국대학교2017년 졸업전도록
1417,,,단국대학교 커뮤니케이션디자인과 제29회 졸업작품집,디자인,도록,2018,148×210,344,,,,PUR 제본,,,정윤교; 고성주,,김윤아; 조지은; 황민영,단국대학교 디자인학부 커뮤니케이션디자인전공,2018.11.06.,,01거래처/단국대학교/단국대-2018졸전도록20181029
1418,,,Cherry On Top: 단국대학교 커뮤니케이션디자인과 제32회 졸업작품집,디자인,도록,2021,170×240,366,,,,,,,,,,단국대학교 디자인학부 커뮤니케이션디자인전공,2021.11.02.,삼원페이퍼; 산돌,01거래처/단국대학교/단국대-졸업전시도록20211102
1419,,,PLANET33: 2022 단국대학교 커뮤니케이션디자인과 제33회 졸업작품집,디자인,도록,2023,170×230,456,200,키아라; 모조지,오프셋 인쇄; 별색 인쇄; 표지에 코팅,노출 사철 제본,,,,,,단국대학교 디자인학부 커뮤니케이션디자인전공,,삼원페이퍼,012대학모음/단국대-2023졸업전시도록20221011
1420,30 A 006,O,RALLY 랠리: 2023 단국대학교 디자인학부 커뮤니케이션디자인전공 제34회 졸업작품집,디자인,도록,2023,235×235,408,,,,,,,,,단국대학교 커뮤니케이션디자인전공 졸업전시준비위원회,단국대학교 디자인학부 커뮤니케이션디자인전공,,,01거래처/단국대학교/단국대학교-커디과 34회 졸업전시20231017
